Taxon	aggregate_oxygen_tol_aggregate	aggregate_gram_stain	oral_related
Acidipropionibacterium_acidipropionici	anaerobe	NA	NA
Actinobacillus_pleuropneumoniae	microaerophile	NA	FALSE
Actinobacillus_succinogenes	aerobe	NA	FALSE
Actinomyces_hongkongensis	anaerobe	NA	FALSE
Actinomyces_meyeri	anaerobe	positive	FALSE
Actinomyces_naeslundii	anaerobe	NA	FALSE
Actinomyces_radicidentis	microaerophile	NA	FALSE
Adlercreutzia_equolifaciens	anaerobe	positive	FALSE
Aggregatibacter_actinomycetemcomitans	microaerophile	NA	FALSE
Aggregatibacter_aphrophilus	microaerophile	NA	FALSE
Atopobium_parvulum	anaerobe	NA	NA
Bacteroides_fragilis	anaerobe	NA	FALSE
Bacteroides_salanitronis	anaerobe	NA	FALSE
Bibersteinia_trehalosi	microaerophile	NA	FALSE
Bifidobacterium_dentium	anaerobe	NA	TRUE
Campylobacter_concisus	anaerobe/microaerophile	NA	TRUE
Campylobacter_curvus	anaerobe/microaerophile	NA	FALSE
Campylobacter_gracilis	anaerobe	NA	TRUE
Capnocytophaga_gingivalis	anaerobe/microaerophile	NA	TRUE
Capnocytophaga_leadbetteri	microaerophile/anaerobe	negative	TRUE
Capnocytophaga_ochracea	anaerobe/microaerophile	NA	TRUE
Capnocytophaga_sputigena	anaerobe/microaerophile	NA	TRUE
Cloacibacillus_porcorum	anaerobe	negative	FALSE
Clostridioides_difficile	anaerobe	NA	NA
Cryptobacterium_curtum	anaerobe/obligate anaerobe	positive	TRUE
Cutibacterium_avidum	anaerobe/microaerophile	NA	NA
Denitrobacterium_detoxificans	anaerobe	NA	FALSE
Desulfobulbus_propionicus	anaerobe	NA	FALSE
Desulfomicrobium_orale	anaerobe	NA	TRUE
Desulfovibrio_fairfieldensis	anaerobe	NA	FALSE
Dialister_pneumosintes	anaerobe	NA	FALSE
Eggerthella_lenta	anaerobe	NA	FALSE
Enterobacter_cloacae	aerobe	NA	FALSE
Enterococcus_faecalis	microaerophile	NA	NA
Eubacterium_limosum	anaerobe	NA	NA
Faecalibacterium_prausnitzii	anaerobe	NA	FALSE
Fermentimonas_caenicola	facultative anaerobe	negative	FALSE
Filifactor_alocis	anaerobe	NA	TRUE
Finegoldia_magna	anaerobe	NA	NA
Flavonifractor_plautii	anaerobe	NA	FALSE
Fretibacterium_fastidiosum	anaerobe	negative	TRUE
Fusobacterium_nucleatum	anaerobe	NA	TRUE
Gordonibacter_pamelaeae	anaerobe	positive	FALSE
Gordonibacter_urolithinfaciens	anaerobe	NA	FALSE
Haemophilus_parainfluenzae	microaerophile	NA	FALSE
Haemophilus_pittmaniae	microaerophile	NA	TRUE
Histophilus_somni	microaerophile	NA	FALSE
Intestinimonas_butyriciproducens	anaerobe	positive	FALSE
Kingella_kingae	microaerophile	NA	FALSE
Lawsonella_clevelandensis	anaerobe	positive	FALSE
Leptotrichia_buccalis	anaerobe/microaerophile	NA	TRUE
Mageeibacillus_indolicus	anaerobe	NA	FALSE
Megasphaera_elsdenii	anaerobe	NA	FALSE
Methanobrevibacter_millerae	anaerobe	NA	FALSE
Methanobrevibacter_olleyae	anaerobe	NA	FALSE
Methanobrevibacter_ruminantium	anaerobe	NA	FALSE
Methanobrevibacter_smithii	anaerobe	NA	FALSE
Neisseria_elongata	microaerophile	NA	FALSE
Neisseria_gonorrhoeae	microaerophile	NA	FALSE
Neisseria_lactamica	microaerophile	NA	FALSE
Neisseria_meningitidis	microaerophile	NA	FALSE
Neisseria_sicca	microaerophile	NA	FALSE
Neisseria_weaveri	aerobe	NA	FALSE
Neisseria_zoodegmatis	facultative anaerobe	negative	FALSE
Odoribacter_splanchnicus	anaerobe	NA	FALSE
Olsenella_uli	obligate anaerobe/anaerobe	NA	TRUE
Olsenella_umbonata	obligate anaerobe/anaerobe	NA	FALSE
Parvimonas_micra	anaerobe	NA	FALSE
