Database	Tax_Level	Min_Supp	Combination	Taxon
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Acidipropionibacterium_acidipropionici
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_hongkongensis
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_meyeri
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_oris
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_radicidentis
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._Chiba101
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_sp._oral_taxon_414
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Actinomyces_succiniciruminis
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Campylobacter_gracilis
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Capnocytophaga_gingivalis
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Capnocytophaga_sputigena
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Eikenella_corrodens
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Fusobacterium_hwasookii
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Fusobacterium_nucleatum
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Fusobacterium_sp._oral_taxon_203
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Ottowia_sp._oral_taxon_894
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Porphyromonas_gingivalis
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Prevotella_intermedia
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Propionibacterium_freudenreichii
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium_propionicum
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Selenomonas_sp._oral_taxon_126
nt	species	0.01	Alouatta:Gorilla:Pan:Homo	Selenomonas_sp._oral_taxon_920
