Combination	Taxon	Software	Tax_Level
Alouatta	Actinobaculum_sp._oral_taxon_183	MALT	species
Alouatta	Actinomyces_slackii	MALT	species
Alouatta	Aggregatibacter_sp._oral_taxon_458	MALT	species
Alouatta	Campylobacter_curvus	MALT	species
Alouatta	Capnocytophaga_gingivalis	MALT	species
Alouatta	Capnocytophaga_sp._ChDC_OS43	MALT	species
Alouatta	Fusobacterium_hwasookii	MALT	species
Alouatta	Fusobacterium_periodonticum	MALT	species
Alouatta	Haemophilus_massiliensis	MALT	species
Alouatta	Haemophilus_parainfluenzae	MALT	species
Alouatta	Kingella_oralis	MALT	species
Alouatta	Leptotrichia_goodfellowii	MALT	species
Alouatta	Necropsobacter_massiliensis	MALT	species
Alouatta	Neisseria_bacilliformis	MALT	species
Alouatta	Neisseria_shayeganii	MALT	species
Alouatta	Neisseria_sp._oral_taxon_014	MALT	species
Alouatta	Pasteurella_multocida	MALT	species
Alouatta	Pasteurella_testudinis	MALT	species
Alouatta	Rothia_aeria	MALT	species
Alouatta	Rothia_dentocariosa	MALT	species
Alouatta	Rothia_mucilaginosa	MALT	species
Alouatta	Selenomonas_artemidis	MALT	species
Alouatta	Selenomonas_sp._F0473	MALT	species
Alouatta	Streptococcus_agalactiae	MALT	species
Alouatta	Streptococcus_anginosus	MALT	species
Alouatta	Streptococcus_caballi	MALT	species
Alouatta	Streptococcus_devriesei	MALT	species
Alouatta	Streptococcus_equi	MALT	species
Alouatta	Streptococcus_ferus	MALT	species
Alouatta	Streptococcus_gallolyticus	MALT	species
Alouatta	Streptococcus_intermedius	MALT	species
Alouatta	Streptococcus_macedonicus	MALT	species
Alouatta	Streptococcus_merionis	MALT	species
Alouatta	Streptococcus_mitis	MALT	species
Alouatta	Streptococcus_parasanguinis	MALT	species
Alouatta	Streptococcus_pneumoniae	MALT	species
Alouatta	Streptococcus_pseudopneumoniae	MALT	species
Alouatta	Streptococcus_pyogenes	MALT	species
Alouatta	Streptococcus_salivarius	MALT	species
Alouatta	Streptococcus_sobrinus	MALT	species
Alouatta	Streptococcus_sp._DD10	MALT	species
Alouatta	Streptococcus_suis	MALT	species
Alouatta	Streptococcus_thermophilus	MALT	species
Pan	[Eubacterium]_infirmum	MALT	species
Pan	Actinomyces_georgiae	MALT	species
Pan	Actinomyces_radicidentis	MALT	species
Pan	Atopobium_rimae	MALT	species
Pan	Atopobium_sp._HMSC064B08	MALT	species
Pan	Atopobium_sp._oral_taxon_199	MALT	species
Pan	Bacteroides_zoogleoformans	MALT	species
Pan	Candidatus_Methanomethylophilus_alvus	MALT	species
Pan	Coriobacteriaceae_bacterium_68-1-3	MALT	species
Pan	Cryptobacterium_curtum	MALT	species
Pan	Desulfomicrobium_orale	MALT	species
Pan	Eggerthella_lenta	MALT	species
Pan	Eggerthia_catenaformis	MALT	species
Pan	Filifactor_alocis	MALT	species
Pan	Lawsonella_clevelandensis	MALT	species
Pan	methanogenic_archaeon_ISO4-H5	MALT	species
Pan	Mogibacterium_diversum	MALT	species
Pan	Mogibacterium_pumilum	MALT	species
Pan	Oribacterium_sp._oral_taxon_078	MALT	species
Pan	Paraeggerthella_hongkongensis	MALT	species
Pan	Peptoanaerobacter_stomatis	MALT	species
Pan	Peptostreptococcaceae_bacterium_oral_taxon_113	MALT	species
Pan	Peptostreptococcaceae_bacterium_pGA-8	MALT	species
Pan	Propionibacterium_sp._oral_taxon_192	MALT	species
Pan	Pseudoramibacter_alactolyticus	MALT	species
Pan	Solobacterium_moorei	MALT	species
Pan	Thermoplasmatales_archaeon_BRNA1	MALT	species
Pan	Treponema_lecithinolyticum	MALT	species
Pan	Treponema_putidum	MALT	species
Pan:Homo	[Eubacterium]_minutum	MALT	species
Pan:Homo	Actinomyces_cardiffensis	MALT	species
Pan:Homo	Actinomyces_odontolyticus	MALT	species
Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439	MALT	species
Pan:Homo	Bacteroidetes_oral_taxon_274	MALT	species
Pan:Homo	Campylobacter_showae	MALT	species
Pan:Homo	Candidatus_Saccharibacteria_oral_taxon_TM7x	MALT	species
Pan:Homo	Lachnospiraceae_bacterium_oral_taxon_500	MALT	species
Pan:Homo	Olsenella_sp._oral_taxon_807	MALT	species
Pan:Homo	Parvimonas_micra	MALT	species
Pan:Homo	Phocaeicola_abscessus	MALT	species
Pan:Homo	Porphyromonas_gingivalis	MALT	species
Pan:Homo	Tannerella_forsythia	MALT	species
Pan:Homo	Tannerella_sp._oral_taxon_HOT-286	MALT	species
Pan:Homo	Treponema_denticola	MALT	species
Pan:Homo	Treponema_maltophilum	MALT	species
Pan:Homo	Treponema_socranskii	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_dentalis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_gerencseriae	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_israelii	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_massiliensis	MALT	species
Alouatta:Gorilla:Pan:Homo	Actinomyces_naeslundii	MALT	species
