Combination	Taxon	Software	Tax_Level	n	Bootstrap_Result
Alouatta	Actinobaculum_sp._oral_taxon_183	MALT	species	NA	NA
Alouatta	Actinomyces_slackii	MALT	species	NA	NA
Alouatta	Aggregatibacter_sp._oral_taxon_458	MALT	species	NA	NA
Alouatta	Campylobacter_curvus	MALT	species	NA	NA
Alouatta	Capnocytophaga_gingivalis	MALT	species	NA	NA
Alouatta	Capnocytophaga_sp._ChDC_OS43	MALT	species	NA	NA
Alouatta	Fusobacterium_hwasookii	MALT	species	NA	NA
Alouatta	Fusobacterium_periodonticum	MALT	species	NA	NA
Alouatta	Haemophilus_massiliensis	MALT	species	NA	NA
Alouatta	Haemophilus_parainfluenzae	MALT	species	NA	NA
Alouatta	Kingella_oralis	MALT	species	NA	NA
Alouatta	Leptotrichia_goodfellowii	MALT	species	NA	NA
Alouatta	Necropsobacter_massiliensis	MALT	species	NA	NA
Alouatta	Neisseria_bacilliformis	MALT	species	NA	NA
Alouatta	Neisseria_shayeganii	MALT	species	NA	NA
Alouatta	Neisseria_sp._oral_taxon_014	MALT	species	NA	NA
Alouatta	Pasteurella_multocida	MALT	species	NA	NA
Alouatta	Pasteurella_testudinis	MALT	species	NA	NA
Alouatta	Rothia_aeria	MALT	species	NA	NA
Alouatta	Rothia_dentocariosa	MALT	species	NA	NA
Alouatta	Rothia_mucilaginosa	MALT	species	NA	NA
Alouatta	Selenomonas_artemidis	MALT	species	NA	NA
Alouatta	Selenomonas_sp._F0473	MALT	species	NA	NA
Alouatta	Streptococcus_agalactiae	MALT	species	NA	NA
Alouatta	Streptococcus_anginosus	MALT	species	NA	NA
Alouatta	Streptococcus_caballi	MALT	species	NA	NA
Alouatta	Streptococcus_devriesei	MALT	species	NA	NA
Alouatta	Streptococcus_equi	MALT	species	NA	NA
Alouatta	Streptococcus_ferus	MALT	species	NA	NA
Alouatta	Streptococcus_gallolyticus	MALT	species	NA	NA
Alouatta	Streptococcus_intermedius	MALT	species	NA	NA
Alouatta	Streptococcus_macedonicus	MALT	species	NA	NA
Alouatta	Streptococcus_merionis	MALT	species	NA	NA
Alouatta	Streptococcus_mitis	MALT	species	NA	NA
Alouatta	Streptococcus_parasanguinis	MALT	species	NA	NA
Alouatta	Streptococcus_pneumoniae	MALT	species	NA	NA
Alouatta	Streptococcus_pseudopneumoniae	MALT	species	NA	NA
Alouatta	Streptococcus_pyogenes	MALT	species	NA	NA
Alouatta	Streptococcus_salivarius	MALT	species	NA	NA
Alouatta	Streptococcus_sobrinus	MALT	species	NA	NA
Alouatta	Streptococcus_sp._DD10	MALT	species	NA	NA
Alouatta	Streptococcus_suis	MALT	species	NA	NA
Alouatta	Streptococcus_thermophilus	MALT	species	NA	NA
Pan	[Eubacterium]_infirmum	MALT	species	NA	NA
Pan	Actinomyces_georgiae	MALT	species	NA	NA
Pan	Actinomyces_radicidentis	MALT	species	NA	NA
Pan	Atopobium_rimae	MALT	species	NA	NA
Pan	Atopobium_sp._HMSC064B08	MALT	species	NA	NA
Pan	Atopobium_sp._oral_taxon_199	MALT	species	NA	NA
Pan	Bacteroides_zoogleoformans	MALT	species	NA	NA
Pan	Candidatus_Methanomethylophilus_alvus	MALT	species	NA	NA
Pan	Coriobacteriaceae_bacterium_68-1-3	MALT	species	NA	NA
Pan	Cryptobacterium_curtum	MALT	species	NA	NA
Pan	Desulfomicrobium_orale	MALT	species	NA	NA
Pan	Eggerthella_lenta	MALT	species	NA	NA
Pan	Eggerthia_catenaformis	MALT	species	NA	NA
Pan	Filifactor_alocis	MALT	species	NA	NA
Pan	Lawsonella_clevelandensis	MALT	species	NA	NA
Pan	methanogenic_archaeon_ISO4-H5	MALT	species	NA	NA
Pan	Mogibacterium_diversum	MALT	species	NA	NA
Pan	Mogibacterium_pumilum	MALT	species	NA	NA
Pan	Oribacterium_sp._oral_taxon_078	MALT	species	NA	NA
Pan	Paraeggerthella_hongkongensis	MALT	species	NA	NA
Pan	Peptoanaerobacter_stomatis	MALT	species	NA	NA
Pan	Peptostreptococcaceae_bacterium_oral_taxon_113	MALT	species	NA	NA
Pan	Peptostreptococcaceae_bacterium_pGA-8	MALT	species	NA	NA
Pan	Propionibacterium_sp._oral_taxon_192	MALT	species	NA	NA
Pan	Pseudoramibacter_alactolyticus	MALT	species	NA	NA
Pan	Solobacterium_moorei	MALT	species	NA	NA
Pan	Thermoplasmatales_archaeon_BRNA1	MALT	species	NA	NA
Pan	Treponema_lecithinolyticum	MALT	species	NA	NA
Pan	Treponema_putidum	MALT	species	NA	NA
Pan:Homo	[Eubacterium]_minutum	MALT	species	NA	NA
Pan:Homo	Actinomyces_cardiffensis	MALT	species	NA	NA
Pan:Homo	Actinomyces_odontolyticus	MALT	species	NA	NA
Pan:Homo	Anaerolineaceae_bacterium_oral_taxon_439	MALT	species	NA	NA
Pan:Homo	Bacteroidetes_oral_taxon_274	MALT	species	NA	NA
Pan:Homo	Campylobacter_showae	MALT	species	NA	NA
